Project Name,RERA Reg. No.,Project Address,Taluka,District,State,Project Type,About Property,Project Start Date,Project End Date,Project Land Area,Total Open Area,Total Covered Area,Carpet Area of Units (Range),Plan Passing Authority,Redevelopment Project,Affordable Housing,Amenities,Unit Type,Block,Total Units,Available Units,Total No. of Towers/Blocks,Promoter Name,Promoter Type,Contact,Email Id,Address,Office Address,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Project Estimated Cost (Rs.),Percentage Loan Against Project Estimated Cost,Total Quarterly Compliance Required,Total Complied Quarters,Total Quarterly Compliance Defaulted,Total Annual Compliance Required,Total Complied Annual Compliance,Total Annual Compliance Defaulted,Project Status,Website,Approved Date,Partner 6,Partner 7,Partner 8,Partner 9,Pincode,Partner 10,Partner 11,Partner 12,Partner 13,Partner 14,Partner 15,Partner 16
ZAITUN COMPLEX,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/MAA14670/130125/301227,"1174,NANI RANGILAPOLE, OPP RANGILA POLICE CHOWKY, SHAHPUR",Ahmedabad City,Ahmedabad,GUJARAT,Mixed Development,RESIDENTIAL AND COMMERCIAL COMPLEX,21-09-2022,30-12-2027,"Sq Mtrs
Total Open Area:- 73.93 Sq Mtrs
Total Covered Area:- 318.09 Sq Mtrs","73.93 Sq Mtrs
Total Covered Area:- 318.09 Sq Mtrs",318.09 Sq Mtrs,16.19 Sq Mts - 112.17 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Shop; Residential,A; A,14,14,1,SUFI INFRA,PARTNERSHIP FIRM,9512121873,sufiinfra1@gmail.com,"1,0,SHIFA RESIDENCY,NR RAIKHAD DARWAJA JAMALPUR GUJARAT Ahmedabad Ahmedabad City 380001","1174,NANI RANGILAPOLE, , Ahmedabad City, Ahmedabad, GUJARAT, 380001
Partners:-
1. ZAFRUDDIN FAKHRUDDIN NAGORI
2. JAHURUDDIN NAGORI
Project Estimated Cost (Rs.):- 5,22,15,300 Percentage Loan Against Project Estimated Cost :- 0 %",ZAFRUDDIN FAKHRUDDIN NAGORI,JAHURUDDIN NAGORI,,,,"5,22,15,300",0%,2,1,NIL,1,NIL,NIL,New,Not Available,13-01-2025,,,,,380001,,,,,,,
CLASSIC LAKE VIEW TOWER,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00656/EX3/A1R/041021,OPP. FOOTBALL GROUND KANKARIA,Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,2 & 3 BHK APARTMENTS,01-01-2015,30-06-2022,"2010 Sq Mtrs
Total Open Area:- 1434 Sq Mtrs
Total Covered Area:- 8292 Sq Mtrs","1434 Sq Mtrs
Total Covered Area:- 8292 Sq Mtrs",8292 Sq Mtrs,60.68 Sq Mts - 223.14 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Drinking Water, Water Conservation, Water Supply, Fire Safety, Road",Residential,Classic Lake View Tower,57,27,1,CLASSIC BUILD PROJECTS PRIVATE LIMITED,COMPANY,9825097453,classicbuild25@gmail.com,"Classic platinum,vishala circle,next to apmc market vasna sarkhej road Gujarat Ahmedabad Ahmedabad City 380055","OPP. FOOTBALL GROUND, Ahmedabad City, Ahmedabad, Gujarat, 380002
Partners:-
1. SHAMIM BARACATALI NARSIHNDANI
2. SHAHEER BARKATALI NARSIDANI
3. BARACATALI BAHADURALI NARSIHNDANI (Authorized Signatory)
Project Estimated Cost (Rs.):- 22,50,00,000 Percentage Loan Against Project Estimated Cost :- 0 %",SHAMIM BARACATALI NARSIHNDANI,SHAHEER BARKATALI NARSIDANI,BARACATALI BAHADURALI NARSIHNDANI (Authorized Signatory),,,"22,50,00,000",0%,18,15,NIL,5,5,NIL,Ongoing,www.classicbuild.in,09-11-2017,,,,,380002,,,,,,,
DHARMLOK APPARTMENT,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06431/EX1/101022,"DHARMLOK APPARTMENT, NR. NARHARI COLONY OPP. MUNI. SCHOOL, KANKARIYA",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,RESIDENTIAL REDEVELOPMENT PROJECT,01-09-2019,31-03-2023,"607 Sq Mtrs
Total Open Area:- 291.84 Sq Mtrs
Total Covered Area:- 315.16 Sq Mtrs","291.84 Sq Mtrs
Total Covered Area:- 315.16 Sq Mtrs",315.16 Sq Mtrs,60.39 Sq Mts - 62.84 Sq Mts,Ahmedabad Municipal Corporation,YES Affordable Housing :- YES,YES,"Disposal of sewage water, Garden, Water Conservation, Water Supply, Fire Safety, Road",Residential,DHARMLOK APPARTMENT,20,3,1,SHRINATH BUILDCON,PARTNERSHIP FIRM,9825902583,shrinathbuildcon2019@gmail.com,"502, SUN SQUARE COMPLEX NR. NEST, OFF C. G. ROAD, AHMEDABAD Gujarat Ahmedabad 380009","DHARMLOK APPARTMENT, NR. NARHARI COLONY, Ahmedabad City, Ahmedabad, Gujarat, 380002
Partners:-
1. HITENDRA RAMANLAL SHAH (Authorized Signatory)
2. MOHANLAL HIRALAL SHARMA
3. Darshit Mehta Dirctor of SURAJ CORPORATE SERVICES PRIVATE LIMITED
4. Mayur Parikh Dirctor of SURAJ CORPORATE SERVICES PRIVATE LIMITED
Project Estimated Cost (Rs.):- 3,18,70,995 Percentage Loan Against Project Estimated Cost :- 0 %",HITENDRA RAMANLAL SHAH (Authorized Signatory),MOHANLAL HIRALAL SHARMA,Darshit Mehta Dirctor of SURAJ CORPORATE SERVICES PRIVATE LIMITED,Mayur Parikh Dirctor of SURAJ CORPORATE SERVICES PRIVATE LIMITED,,"3,18,70,995",0%,13,9,1,4,3,NIL,New,"https://www.google.com/maps/@23.0055357,72.5929574,21z?hl=en-US",06-12-2019,,,,,380002,,,,,,,
DIAMOND JUBILEE APPARTMENT,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03930/021118,"KHURSEED VILLA,OPP VED MANDIR, KANKARIA AHMEDABAD",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,HIGH END LUXURIOUS APARTMENT,02-01-2018,30-06-2022,"596 Sq Mtrs
Total Open Area:- 275.88 Sq Mtrs
Total Covered Area:- 320.12 Sq Mtrs","275.88 Sq Mtrs
Total Covered Area:- 320.12 Sq Mtrs",320.12 Sq Mtrs,128.4 Sq Mts - 128.55 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Water Conservation, Water Supply, Road",Residential,DIAMONDJUBILEE,10,3,1,PATEL BUILDCON,PARTNERSHIP FIRM,9825009667,diamondjubileeappartment@gmail.com,"S/o Patel dilipkumar , 1 B Rachna Maninagar Co-op Housing Soc jyamala Busstand , Isanpur Gujarat Ahmedabad 382443","KHURSEED VILLA,OPP VED MANDIR, KANKARIA , Ahmedabad City, Ahmedabad, Gujarat, 380002
Partners:-
1. Patel Pavan Dilipkumar (Authorized Signatory)
Project Estimated Cost (Rs.):- 7,41,42,600 Percentage Loan Against Project Estimated Cost :- 0 %",Patel Pavan Dilipkumar (Authorized Signatory),,,,,"7,41,42,600",0%,15,13,1,4,4,NIL,New,https://gujrera.gujarat.gov.in/projectParentEntity?projectId=7101,02-11-2018,,,,,380002,,,,,,,
HUBTOWN TRADE CENTRE,PR/GJ/MEHSANA/MAHESANA/OTHERS/CAA08567/050621,"GSRTC QUARTERS CLASS-II,BLOCK NO.2,GROUND FLOOR,BEHIND VIBHAGIYA KACHERI MODHERA CROSSING,MEHSANA,GUJARAT-380002",Mahesana,Mehsana,Gujarat,Commercial,Integrated Bus Terminal Development PPP Project in partnership with GSRTC on BOT basis,05-03-2021,31-12-2028,"87727.99 Sq Mtrs
Total Open Area:- 53635.34 Sq Mtrs
Total Covered Area:- 34092.65 Sq Mtrs","53635.34 Sq Mtrs
Total Covered Area:- 34092.65 Sq Mtrs",34092.65 Sq Mtrs,6.43 Sq Mts - 141.11 Sq Mts,Others,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Drinking Water, Water Conservation, Water Supply, Fire Safety, Road",Shop,M1,1,1,10,HUBTOWN BUS TERMINAL (MEHSANA) PRIVATE LIMITED,COMPANY,9870986079,rera.mehsana@hubtown.co.in,"GSRTC QUARTERS CLASS-II,BLOCK NO.2,GROUND FLOOR,BEHIND VIBHAGIYA KACHERI, MODHERA CROSSING,MEHSANA,GUJARAT-38002 GUJARAT Ahmedabad Ahmedabad City 380002","GSRTC QUARTERS CLASS-II,BLOCK NO.2,GROUND FLOOR,BEHIND VIBHAGIYA KACHERI, Mahesana, Mehsana, Gujarat,
Partners:-
1. DATTATRAYA VIJAYSINGH PRABHU (Authorized Signatory)
Project Estimated Cost (Rs.):- 1,41,04,90,666.05 Percentage Loan Against Project Estimated Cost :- 0 %",DATTATRAYA VIJAYSINGH PRABHU (Authorized Signatory),,,,,"1,41,04,90,666.05",0%,16,14,NIL,4,3,NIL,New,www.hubtown.co.in,05-06-2021,,,,,380002,,,,,,,
ISCON COMMERCIAL COMPLEX,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01141/EX1/A1C/191220,"OMEX MILL COMPOUND NEW GUJARAT SYNTHETIC NO:3, SARANGPUR",Ahmedabad City,Ahmedabad,Gujarat,Commercial,LOWRISE COMMERCIAL PROJECT,15-07-2016,30-06-2021,"9111.2 Sq Mtrs
Total Open Area:- 4648.34 Sq Mtrs
Total Covered Area:- 4462.86 Sq Mtrs","4648.34 Sq Mtrs
Total Covered Area:- 4462.86 Sq Mtrs",4462.86 Sq Mtrs,20.9 Sq Mts - 154.64 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Water Conservation, Water Supply, Fire Safety, Road",Office; Shop,A; A,503,385,4,ISCON COMMERCIAL COMPLEX PHASE-II,LIMITED LIABILITY PARTNERSHIP FIRM,9099905563,isconcommercialrera2022@gmail.com,"ISCON HOUSE, B/H REMBRANDT BUILDING, OPP. ASSOCIATED PETROL PUMP, OFF C.G. ROAD GUJARAT Ahmedabad Ahmedabad City 380009","OMEX MILL COMPOUND, Ahmedabad City, Ahmedabad, Gujarat, 380002
Partners:-
1. JATEEN MADANBHAI GUPTA (Authorized Signatory)
2. JAYESHKUMAR TALAKSHIBHAI KOTAK
Project Estimated Cost (Rs.):- 2,84,91,66,841 Percentage Loan Against Project Estimated Cost :- 12.37 %",JATEEN MADANBHAI GUPTA (Authorized Signatory),JAYESHKUMAR TALAKSHIBHAI KOTAK,,,,"2,84,91,66,841",12.37%,14,8,NIL,4,3,NIL,Ongoing,https://gujrerar1.gujarat.gov.in,29-12-2017,,,,,380002,,,,,,,
JALDEEP RESIDENCY,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05762/200719,"JALDEEP RESIDENCY, OPP SAHJANAND SOCIETY OLD PILOT DAIRY ROAD, KANKARIYA",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,20 RESIDENTIAL APARTMENT,11-02-2019,30-06-2022,"528 Sq Mtrs
Total Open Area:- 251.6 Sq Mtrs
Total Covered Area:- 276.4 Sq Mtrs","251.6 Sq Mtrs
Total Covered Area:- 276.4 Sq Mtrs",276.4 Sq Mtrs,50.11 Sq Mts - 54.89 Sq Mts,Ahmedabad Municipal Corporation,YES Affordable Housing :- YES,YES,"Garden, Water Conservation, Water Supply, Fire Safety, Road",Residential,1,20,1,1,SHREEJI DEVELOPERS,PARTNERSHIP FIRM,9898555525,shreejidevelopers1126@gmail.com,"26 VIVEKNAGAR SOCIETY, NR RENCHHODJI TEMPLE AMRAIWADI, AHMEDABAD Gujarat Ahmedabad 380026","JALDEEP RESIDENCY, OPP SAHJANAND SOCIETY, Ahmedabad City, Ahmedabad, Gujarat, 380002
Partners:-
1. MANISHBHAI MOTILAL PARMAR (Authorized Signatory)
2. MAHENDRABHAI KANJIBHAI PATEL
Project Estimated Cost (Rs.):- 3,78,22,190 Percentage Loan Against Project Estimated Cost :- 0 %",MANISHBHAI MOTILAL PARMAR (Authorized Signatory),MAHENDRABHAI KANJIBHAI PATEL,,,,"3,78,22,190",0%,12,5,NIL,3,1,NIL,New,http://shreejideveloper.co.in/,20-07-2019,,,,,380002,,,,,,,
PRISM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/OTHERS/CAA03935/021118,"TP No.2, Dani Limda Division Ahmedabad 5 Opp,Manan Bajaj,Nr.Dahyabhai Park Society,BRTS Road,Kankaria",Ahmedabad City,Ahmedabad,Gujarat,Commercial,Commercial Shops and Offices,18-09-2017,30-09-2020,"3059 Sq Mtrs
Total Open Area:- 1186 Sq Mtrs
Total Covered Area:- 1873 Sq Mtrs","1186 Sq Mtrs
Total Covered Area:- 1873 Sq Mtrs",1873 Sq Mtrs,27.71 Sq Mts - 338.76 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Lift, Security, Water Conservation, Water Supply, Fire Safety, Road",Office; Shop,PRISM; PRISM,96,36,1,SIGMA RUDRA INFRASTRUCTURE,PARTNERSHIP FIRM,9898020202,kipl2901@yahoo.in,"Opp,Manan Bajaj,Nr.Dahyabhai Park Society BRTS Road,Kankaria Gujarat Ahmedabad 380021","TP No.2, Dani Limda Division, Ahmedabad City, Ahmedabad, Gujarat, 380002
Partners:-
1. Kalpesh Kantipuri Goswami (Authorized Signatory)
Project Estimated Cost (Rs.):- 25,63,27,350 Percentage Loan Against Project Estimated Cost :- 0 %",Kalpesh Kantipuri Goswami (Authorized Signatory),,,,,"25,63,27,350",0%,8,6,1,2,1,NIL,New,https://gujrera.gujarat.gov.in/,02-11-2018,,,,,380002,,,,,,,
J. P. RIVERVIEW,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04191/301118,"B/H GUJARAT RESEARCH & MEDICAL INSTITUTE INDIRA BRIDGE, HANSOL",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,3BHK RESIDENTIAL FLATS,05-10-2018,30-06-2023,"5055 Sq Mtrs
Total Open Area:- 997.82 Sq Mtrs
Total Covered Area:- 1092.18 Sq Mtrs","997.82 Sq Mtrs
Total Covered Area:- 1092.18 Sq Mtrs",1092.18 Sq Mtrs,101.1 Sq Mts - 101.1 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Fire Safety, Road",Residential,B,80,61,2,MAHALAXMI DEVELOPERS,PARTNERSHIP FIRM,9376165466,mahalaxmidevelopers@yahoo.com,"B/H GUJARAT RESEARCH & MEDICAL INSTITUTE INDIRA BRIDGE, HANSOL Gujarat Ahmedabad 382475","B/H GUJARAT RESEARCH & MEDICAL INSTITUTE, Ahmedabad City, Ahmedabad, Gujarat, 380003
Partners:-
1. MANOHARLAL TANNUMAL KACHHWANI (Authorized Signatory)
Project Estimated Cost (Rs.):- 26,00,00,000 Percentage Loan Against Project Estimated Cost :- 0 %",MANOHARLAL TANNUMAL KACHHWANI (Authorized Signatory),,,,,"26,00,00,000",0%,19,18,NIL,5,5,NIL,New,https://gujrera.gujarat.gov.in,30-11-2018,,,,,380003,,,,,,,
Amarjash Enclave,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01424/240118,"71/1/f/2 , Nava madhupura, Nr Krishna Complex, Madhupura",Ahmedabad City,Ahmedabad,Gujarat,Mixed Development,Commercial & Residence,02-12-2013,28-02-2018,"1396.5232 Sq Mtrs
Total Open Area:- 700 Sq Mtrs
Total Covered Area:- 696.5232 Sq Mtrs","700 Sq Mtrs
Total Covered Area:- 696.5232 Sq Mtrs",696.5232 Sq Mtrs,5.71 Sq Mts - 87.28 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Garden, Water Conservation, Water Supply",No inventory data available,,0,0,1,AMARJASH DEVELOPER,PARTNERSHIP FIRM,9824565369,sanjay12091973@gmail.com,"71/1/f/2 , Nava madhupura, Nr Krishna Complex, Madhupura Gujarat Ahmedabad 380004","71/1/f/2 , Nava madhupura,, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. Sanjaybhai Narangbhai Patel
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",Sanjaybhai Narangbhai Patel,,,,,,,1,1,NIL,1,1,NIL,Ongoing,https://gujrera.gujarat.gov.in/viewProjectDetailPage?projectID=1943,24-01-2018,,,,,380004,,,,,,,
Anantara,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06344/A1R/070820,"Anantara, Near Shahibaug Post Office, Shahibaug,",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,Residential,11-09-2019,30-06-2023,"1429 Sq Mtrs
Total Open Area:- 1014.1 Sq Mtrs
Total Covered Area:- 418.47 Sq Mtrs","1014.1 Sq Mtrs
Total Covered Area:- 418.47 Sq Mtrs",418.47 Sq Mtrs,153.66 Sq Mts - 206.19 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Residential,1,22,3,1,A SHRIDHAR INFRACON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9825125156,rera.anantaraabode@gmail.com,"A. Shridhar Corporate House, Shilaj Circle, Nr. Kaveri Sangam, S.P. Ring Road, Shilaj Gujarat Ahmedabad Ahmedabad City 380058","Anantara, Near Shahibaug Post Office,, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. SHARVIL AJAYKUMAR SHRIDHAR (Authorized Signatory)
2. AJAYKUMAR DAHYABHAI SHRIDHAR
Project Estimated Cost (Rs.):- 31,78,83,500 Percentage Loan Against Project Estimated Cost :- 0 %",SHARVIL AJAYKUMAR SHRIDHAR (Authorized Signatory),AJAYKUMAR DAHYABHAI SHRIDHAR,,,,"31,78,83,500",0%,15,15,NIL,4,4,NIL,New,www.ashridhar.com,19-11-2019,,,,,380004,,,,,,,
ANIRDESH APARTMENT,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/RAA14680/130125/310327,"ANIRDESH APARTMENT, B/H SHREEJI KHAMAN SHAHIBAUG ROAD, AHMEDABAD",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,3 BHK PREMIUM APARTMENT,24-09-2024,31-03-2027,"Sq Mtrs
Total Open Area:- 301.38 Sq Mtrs
Total Covered Area:- 346.62 Sq Mtrs","301.38 Sq Mtrs
Total Covered Area:- 346.62 Sq Mtrs",346.62 Sq Mtrs,67.36 Sq Mts - 73 Sq Mts,Ahmedabad Municipal Corporation,YES Affordable Housing :- YES,YES,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Residential,A,20,8,1,RUSHIKESH REALITY PRIVATE LIMITED,COMPANY,9328855202,rrpl111@gmail.com,401 NEELKANTH PLAZA SHAHIBAUG ROAD GUJARAT Ahmedabad Ahmedabad City 380004,"ANIRDESH APARTMENT, B/H SHREEJI KHAMAN, Ahmedabad City, Ahmedabad, GUJARAT, 380004
Partners:-
1. MANSUKH AMBABHAI POKAL (Authorized Signatory)
2. YOGENDRA SHANTILAL SHAH
Project Estimated Cost (Rs.):- 4,58,30,692 Percentage Loan Against Project Estimated Cost :- 0 %",MANSUKH AMBABHAI POKAL (Authorized Signatory),YOGENDRA SHANTILAL SHAH,,,,"4,58,30,692",0%,1,1,NIL,1,NIL,NIL,New,https://www.gujrera.gujarat.gov.in/#/project-preview,13-01-2025,,,,,380004,,,,,,,
ANMOL AMBIENCE,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05174/A1R/150619,OPP SAMVID TOWER CIVIL-CAMP ROAD,Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,RESIDENTIAL PROJECT,01-02-2019,30-12-2022,"2104.51 Sq Mtrs
Total Open Area:- 1444.11 Sq Mtrs
Total Covered Area:- 660.4 Sq Mtrs","1444.11 Sq Mtrs
Total Covered Area:- 660.4 Sq Mtrs",660.4 Sq Mtrs,120.36 Sq Mts - 173.37 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Water Conservation, Water Supply, Fire Safety, Road",Residential,BLOCK A,40,25,1,ANMOL CONSTRUCTION COMPANY,PARTNERSHIP FIRM,9825023255,anmolambience@gmail.com,"4TH FLOOR ANMOL BUSINESS CENTRE, NR NAVARANG CIRCLE, NAVARANGPURA Gujarat Ahmedabad 380009","OPP SAMVID TOWER, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. ARVINKUMAR KANTILAL PATEL (Authorized Signatory)
2. SURESHBHAI RANCHHODBHAI PATEL
3. CHITTRANJAN AMBALAL PATEL
4. AMITKUMAR GOVINDBHAI PATEL
5. ANMOL INFRABUILD LLP
Project Estimated Cost (Rs.):- 54,68,17,729 Percentage Loan Against Project Estimated Cost :- 24.21 %",ARVINKUMAR KANTILAL PATEL (Authorized Signatory),SURESHBHAI RANCHHODBHAI PATEL,CHITTRANJAN AMBALAL PATEL,AMITKUMAR GOVINDBHAI PATEL,ANMOL INFRABUILD LLP,"54,68,17,729",24.21%,15,8,NIL,5,4,NIL,New,www.anmolinfrabuild.com,30-03-2019,,,,,380004,,,,,,,
Celestia 20,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/RAA13852/150724/311227,"TP Scheme No14 FP No241/1/A City S. No 7188, TP Scheme No 14 FP No241/1/B City S No 7189 B/h Old Circuit house, Opp Shahibaug Post Office, Shahibaug",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,Residential Project having 20 Units,02-11-2023,31-12-2027,"Sq Mtrs
Total Open Area:- 659.75 Sq Mtrs
Total Covered Area:- 1045.15 Sq Mtrs","659.75 Sq Mtrs
Total Covered Area:- 1045.15 Sq Mtrs",1045.15 Sq Mtrs,170.92 Sq Mts - 227.64 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Community Hall, Fire Safety, Road",Residential,A,20,19,1,TRINETRA REALTY,PARTNERSHIP FIRM,9998880950,trinetrarealty2023@gmail.com,Celestia 20 B/h Old Circuit House Opp Shahibaug Post Office Shahibaug GUJARAT Ahmedabad undefined 380004,"TP Scheme No14 FP No241/1/A City S. No 7188, TP Scheme No 14 FP No241/1/B City S No 7189, Ahmedabad City, Ahmedabad, GUJARAT, 380004
Partners:-
1. PANKAJKUMAR UPENDRABHAI DAVE (Authorized Signatory)
2. KIRAN RASIKLAL TRIVEDI
3. DHARMENDRA GOVINDBHAI GAJJAR
4. SUNIL GANGWANI
5. ASHOK DHARAMSHIBHAI MANEK
6. GURUCHARANSINGH JOGINDERSINGH CHHABDA
Project Estimated Cost (Rs.):- 36,52,36,533 Percentage Loan Against Project Estimated Cost :- 0 %",PANKAJKUMAR UPENDRABHAI DAVE (Authorized Signatory),KIRAN RASIKLAL TRIVEDI,DHARMENDRA GOVINDBHAI GAJJAR,SUNIL GANGWANI,ASHOK DHARAMSHIBHAI MANEK,"36,52,36,533",0%,4,4,NIL,2,NIL,NIL,New,Not Available,15-07-2024,GURUCHARANSINGH JOGINDERSINGH CHHABDA,,,,380004,,,,,,,
Devarsh Sopan,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00845/EX2/290319,"F.P.NUMBER 241, C.S NUMBER41/2, 42/2, 42/3,43,44/2,44/3 MADHUPURA, CITY EAST",Ahmedabad City,Ahmedabad,Gujarat,Commercial,Ground floor plus six story commercial building,01-02-2016,30-12-2019,"1523 Sq Mtrs
Total Open Area:- 873 Sq Mtrs
Total Covered Area:- 650 Sq Mtrs","873 Sq Mtrs
Total Covered Area:- 650 Sq Mtrs",650 Sq Mtrs,18.77 Sq Mts - 558.64 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Fire Safety, Road",Office; Shop; Other,DEVARSH SOPAN; DEVARSH SOPAN; DEVARSH SOPAN,70,34,1,Aabhaar Procon LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9427012928,cs@purohitconstruction.com,"502, Purohit House,Opp. Stadium Navrangpura Gujarat Ahmedabad 380009","F.P.NUMBER 241, C.S NUMBER41/2, 42/2, 42/3,43,44/2,44/3, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. SANDIP G THAKKAR
Project Estimated Cost (Rs.):- 22,22,52,854 Percentage Loan Against Project Estimated Cost :- 0 %",SANDIP G THAKKAR,,,,,"22,22,52,854",0%,9,9,NIL,3,2,NIL,Ongoing,http://www.purohitconstruction.com/,28-11-2017,,,,,380004,,,,,,,
KALPVRIKSH,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00454/141017,"KALPVRIKSH, OPP CHINTAMANI HOSPITAL SHAHIBAUG",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,3 & 4 BHK RESIDENTIAL APPARTMENTS,15-02-2016,15-09-2018,"2012 Sq Mtrs
Total Open Area:- 1480 Sq Mtrs
Total Covered Area:- 532 Sq Mtrs","1480 Sq Mtrs
Total Covered Area:- 532 Sq Mtrs",532 Sq Mtrs,112.75 Sq Mts - 170.32 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Water Conservation, Water Supply, Fire Safety, Road",No inventory data available,,0,0,1,SHAIVAL INFRASPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9825409390,shaival1972@gmail.com,"201, SHAIVAL PLAZA, ELLISBRIDGE Gujarat Ahmedabad 380006","KALPVRIKSH, OPP CHINTAMANI HOSPITAL, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. SHITAL P SAHAH (Authorized Signatory)
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",SHITAL P SAHAH (Authorized Signatory),,,,,,,4,4,NIL,1,1,NIL,Ongoing,www.kalpvriksh.com,14-10-2017,,,,,380004,,,,,,,
